id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
660553,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,481,1.0,Email Bounced,Business Administration,Unemployed,No,No,No,No,No,No,16.0,17.0,No
660547,API,Organic Search,No,No,1,6.0,1012,6.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660534,API,Referral Sites,No,No,0,6.0,973,6.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,13.0,13.0,No
660509,API,Organic Search,No,No,0,3.0,98,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660479,Landing Page Submission,Google,No,No,0,1.0,233,1.0,Unreachable,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,17.0,No
660478,API,Google,No,No,0,4.0,377,1.33,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
660458,API,Google,No,No,1,6.0,1137,1.5,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
660432,Landing Page Submission,Organic Search,No,No,1,4.0,1000,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,11.0,18.0,Yes
660424,Landing Page Submission,Google,No,No,1,6.0,1315,6.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,15.0,19.0,No
660402,Landing Page Submission,Direct Traffic,No,No,1,7.0,1174,3.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
660361,API,Referral Sites,No,No,0,4.0,223,2.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,13.0,No
660312,Landing Page Submission,Google,No,No,0,4.0,1622,4.0,Unreachable,Operations Management,Unemployed,No,No,No,No,No,No,12.0,18.0,No
660267,Landing Page Submission,Google,No,No,1,5.0,563,5.0,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,13.0,20.0,No
660255,API,Google,No,No,0,2.0,310,2.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660235,API,Direct Traffic,No,No,0,3.0,342,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660222,Landing Page Submission,Organic Search,Yes,No,0,7.0,38,7.0,Unsubscribed,Retail Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
660215,API,Google,No,No,0,5.0,199,5.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660203,Landing Page Submission,Google,No,No,0,5.0,222,5.0,Email Opened,Finance Management,,No,No,No,No,No,No,13.0,18.0,No
660180,Landing Page Submission,Google,No,No,0,4.0,287,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
660153,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
660149,API,Google,No,No,0,6.0,1225,6.0,Page Visited on Website,Supply Chain Management,Unemployed,No,No,No,No,No,No,12.0,15.0,No
660128,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
660070,Landing Page Submission,Google,No,No,0,5.0,160,5.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,17.0,18.0,No
660050,API,Google,No,No,0,6.0,286,1.5,Chat Conversation,,,No,No,No,No,No,No,16.0,15.0,No
660048,API,Organic Search,No,No,0,7.0,96,2.33,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
659998,Landing Page Submission,Referral Sites,No,No,1,13.0,436,13.0,Form Submitted on Website,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,13.0,No
659963,API,Referral Sites,No,No,1,8.0,903,8.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659931,API,Google,No,No,0,4.0,213,4.0,Form Submitted on Website,International Business,Unemployed,No,No,No,No,No,No,13.0,16.0,No
659925,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659896,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,15.0,15.0,No
659875,Landing Page Submission,Google,No,No,1,1.0,157,1.0,Converted to Lead,Hospitality Management,Unemployed,No,No,No,No,No,No,15.0,14.0,No
659853,API,Google,No,No,1,3.0,885,1.5,Had a Phone Conversation,Operations Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
659849,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
659833,API,Chat,No,No,0,0.0,0,0.0,View in browser link Clicked,Finance Management,Unemployed,No,No,No,No,No,No,12.0,14.0,No
659819,Landing Page Submission,Direct Traffic,No,No,0,1.0,1710,1.0,Converted to Lead,Retail Management,Unemployed,No,No,No,No,No,No,16.0,19.0,Yes
659820,Landing Page Submission,Direct Traffic,No,No,0,4.0,219,4.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,13.0,18.0,No
659806,Landing Page Submission,Referral Sites,Yes,No,0,3.0,111,3.0,Email Bounced,International Business,Unemployed,No,No,No,No,No,No,13.0,15.0,Yes
659784,API,Organic Search,No,No,0,6.0,224,6.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659782,Landing Page Submission,Direct Traffic,No,No,0,5.0,224,1.67,Page Visited on Website,Operations Management,,No,No,No,No,No,No,13.0,17.0,Yes
659720,API,Referral Sites,No,No,0,4.0,520,4.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,10.0,15.0,No
659710,Lead Add Form,Reference,No,No,1,,705,,,Hospitality Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No
659704,API,Chat,No,No,1,0.0,0,0.0,Email Link Clicked,Operations Management,Working Professional,No,No,No,No,No,No,15.0,16.0,No
659696,Landing Page Submission,Google,No,No,1,3.0,1136,3.0,Page Visited on Website,IT Projects Management,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659676,API,Referral Sites,No,No,0,4.0,75,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
659614,API,Organic Search,No,No,0,3.0,214,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659607,API,Chat,No,No,1,6.0,1158,1.5,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,15.0,14.0,Yes
659562,Landing Page Submission,Direct Traffic,No,No,0,4.0,161,2.0,Unreachable,Marketing Management,Unemployed,No,No,No,No,No,No,12.0,17.0,No
659555,Landing Page Submission,Google,No,No,0,2.0,511,2.0,Form Submitted on Website,Healthcare Management,Unemployed,No,No,No,No,No,No,9.0,15.0,No
659523,API,Google,No,No,1,5.0,1110,5.0,Chat Conversation,Human Resource Management,Working Professional,No,No,No,No,No,No,16.0,16.0,No
659507,Landing Page Submission,Direct Traffic,No,No,1,5.0,1563,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,20.0,Yes
659492,API,Referral Sites,No,No,0,7.0,1633,3.5,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
659480,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659469,Landing Page Submission,Direct Traffic,No,No,0,2.0,638,2.0,Page Visited on Website,Healthcare Management,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
659463,API,Google,No,No,1,5.0,1196,5.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659447,Landing Page Submission,Organic Search,No,No,0,6.0,1485,6.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
659438,API,Google,No,No,0,9.0,125,3.0,Page Visited on Website,,,No,No,No,No,No,No,14.0,15.0,No
659411,Landing Page Submission,Google,No,No,0,6.0,398,3.0,Chat Conversation,E-COMMERCE,,No,No,No,No,No,No,15.0,15.0,Yes
659407,API,Organic Search,No,No,0,3.0,570,3.0,Converted to Lead,,,No,No,No,No,No,No,13.0,15.0,No
659395,Landing Page Submission,Organic Search,No,No,1,6.0,895,6.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
659369,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Link Clicked,Business Administration,Working Professional,No,No,No,No,No,No,14.0,19.0,No
659364,API,Google,No,No,1,5.0,727,5.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659357,Landing Page Submission,Google,No,No,0,8.0,652,4.0,Unreachable,Hospitality Management,Unemployed,No,No,No,No,No,No,13.0,15.0,No
659287,API,Organic Search,No,No,0,3.0,273,3.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659283,Lead Add Form,Reference,No,No,1,,1111,,,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,18.0,No
659281,Landing Page Submission,Google,No,No,0,8.0,277,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,No
659263,API,Organic Search,No,No,1,3.0,1207,1.5,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659248,API,Google,No,No,0,2.0,39,1.0,Converted to Lead,,,No,No,No,No,No,No,16.0,15.0,No
659238,Landing Page Submission,Direct Traffic,No,No,0,1.0,127,1.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
659217,Landing Page Submission,Google,Yes,No,0,4.0,323,4.0,Unsubscribed,International Business,,No,No,No,No,No,No,13.0,18.0,No
659203,API,Google,No,No,1,2.0,160,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659191,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Businessman,No,No,No,No,No,No,15.0,19.0,No
659182,API,Google,No,No,0,1.0,263,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,14.0,No
659170,API,Google,No,No,0,2.0,1218,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
659146,Landing Page Submission,Google,No,No,1,5.0,1091,5.0,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,13.0,20.0,No
659142,Landing Page Submission,Direct Traffic,No,No,0,4.0,291,4.0,Chat Conversation,Supply Chain Management,,No,No,No,No,No,No,14.0,16.0,Yes
659138,API,Google,Yes,No,0,1.0,1759,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659123,Landing Page Submission,Google,No,No,0,5.0,386,5.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,17.0,No
659106,Landing Page Submission,Google,No,No,1,5.0,1603,5.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
659094,Landing Page Submission,google,No,No,0,7.0,106,3.5,Page Visited on Website,Select,,No,No,No,No,No,No,14.0,13.0,No
659079,API,Google,No,No,0,2.0,73,2.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
659076,API,Google,No,No,0,2.0,77,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
659074,Landing Page Submission,Direct Traffic,No,No,0,3.0,718,3.0,Unreachable,Hospitality Management,,No,No,No,No,No,No,13.0,14.0,Yes
659057,Landing Page Submission,Google,No,No,0,5.0,232,2.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,16.0,No
659050,Landing Page Submission,Direct Traffic,No,No,0,2.0,702,2.0,Email Opened,Hospitality Management,Unemployed,No,No,No,No,No,No,14.0,13.0,Yes
659038,Landing Page Submission,Organic Search,No,No,1,5.0,614,5.0,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,15.0,19.0,Yes
659036,Landing Page Submission,Direct Traffic,No,No,1,1.0,1808,1.0,Converted to Lead,IT Projects Management,,No,No,No,No,No,No,14.0,14.0,Yes
659016,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,234,1.0,Email Bounced,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
659013,Landing Page Submission,Direct Traffic,No,No,0,3.0,245,3.0,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
658983,Landing Page Submission,Organic Search,No,No,1,8.0,1268,4.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
658976,Landing Page Submission,Google,No,No,0,2.0,56,2.0,Email Bounced,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
658932,API,Referral Sites,No,No,0,4.0,174,2.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,13.0,13.0,No
658917,Landing Page Submission,Direct Traffic,No,No,0,4.0,1149,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,18.0,No
658888,Landing Page Submission,Direct Traffic,No,No,0,2.0,333,2.0,Email Opened,E-COMMERCE,,No,No,No,No,No,No,14.0,13.0,Yes
658856,API,Organic Search,No,No,0,7.0,471,2.33,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658852,Landing Page Submission,Direct Traffic,No,No,1,3.0,1010,3.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
658831,API,Chat,No,No,1,10.0,1815,3.33,Had a Phone Conversation,Operations Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
658828,Landing Page Submission,Direct Traffic,No,No,0,2.0,47,2.0,Email Link Clicked,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
658826,Landing Page Submission,Direct Traffic,No,No,1,3.0,1528,1.5,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
658793,Landing Page Submission,Google,No,No,1,6.0,919,6.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
658773,API,Organic Search,No,No,0,1.0,1173,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658766,API,Google,No,No,0,2.0,351,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
658756,Landing Page Submission,Referral Sites,No,No,0,12.0,493,12.0,Email Link Clicked,Marketing Management,,No,No,No,No,No,No,16.0,16.0,Yes
658686,API,Organic Search,No,No,0,7.0,1334,7.0,Email Opened,Business Administration,,No,No,No,No,No,No,14.0,16.0,Yes
658675,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,14.0,20.0,No
658656,API,Google,No,No,0,1.0,250,1.0,Email Bounced,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
658652,Landing Page Submission,Direct Traffic,No,No,0,2.0,383,2.0,Email Link Clicked,Business Administration,,No,No,No,No,No,No,14.0,16.0,Yes
658620,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658618,API,Referral Sites,No,No,0,4.0,904,4.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,17.0,13.0,No
658606,API,Google,No,No,0,2.0,1793,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
658597,API,Organic Search,No,No,0,5.0,1841,5.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658571,API,Organic Search,No,No,1,8.0,877,2.67,Email Link Clicked,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,No
658561,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Unreachable,Retail Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
658527,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
658481,API,Google,No,No,0,12.0,68,1.71,Page Visited on Website,Media and Advertising,,No,No,No,No,No,No,16.0,15.0,No
658470,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
658458,Landing Page Submission,Google,No,No,0,3.0,192,3.0,Email Opened,International Business,,No,No,No,No,No,No,14.0,17.0,No
658448,Landing Page Submission,Google,No,No,0,5.0,309,5.0,Chat Conversation,Finance Management,,No,No,No,No,No,No,15.0,18.0,No
658432,Lead Add Form,Reference,No,No,1,,785,,Approached upfront,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No
658430,API,Organic Search,No,No,0,4.0,342,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658421,API,Google,No,No,0,2.0,78,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658398,API,Organic Search,No,No,1,5.0,1234,1.67,Email Opened,International Business,Student,No,No,No,No,No,No,16.0,17.0,No
658353,API,Organic Search,No,No,0,8.0,14,8.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658323,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658322,API,Referral Sites,No,No,0,4.0,77,4.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,13.0,No
658321,API,Referral Sites,No,No,1,3.0,1299,3.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,13.0,No
658309,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
658299,API,Referral Sites,No,No,0,2.0,457,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,13.0,No
658281,Landing Page Submission,Direct Traffic,No,No,0,3.0,481,3.0,Email Link Clicked,"Banking, Investment And Insurance",,No,No,No,No,No,No,13.0,16.0,Yes
658278,API,Direct Traffic,No,No,0,2.0,205,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
658277,Landing Page Submission,Direct Traffic,No,No,1,1.0,1106,1.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
658220,API,Organic Search,No,No,0,4.0,331,4.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
658206,Landing Page Submission,Direct Traffic,No,No,0,4.0,187,4.0,Email Link Clicked,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
658203,API,Organic Search,No,No,1,3.0,1407,1.5,Converted to Lead,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658193,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,15.0,18.0,No
658178,API,Organic Search,No,No,0,1.0,100,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658142,Landing Page Submission,Direct Traffic,No,No,1,9.0,1164,4.5,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,16.0,15.0,Yes
658089,Landing Page Submission,Direct Traffic,No,No,1,1.0,1362,1.0,Unreachable,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,14.0,No
658081,API,Direct Traffic,No,No,0,7.0,1051,3.5,Chat Conversation,,,No,No,No,No,No,No,14.0,15.0,No
658071,Landing Page Submission,Google,No,No,0,2.0,1816,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
658070,Landing Page Submission,Direct Traffic,No,No,0,7.0,74,2.33,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
658063,API,Organic Search,No,No,0,13.0,54,6.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658048,Landing Page Submission,Direct Traffic,No,No,1,3.0,1183,3.0,Email Opened,Finance Management,,No,No,No,No,No,No,13.0,17.0,Yes
658023,API,Chat,No,No,0,3.0,1122,1.5,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
658017,Landing Page Submission,Organic Search,No,No,0,6.0,135,6.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
657968,Landing Page Submission,Direct Traffic,No,No,1,7.0,116,7.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
657941,API,Organic Search,No,No,1,3.0,195,3.0,Converted to Lead,Operations Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No
657920,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
657905,Landing Page Submission,Google,No,No,1,3.0,732,3.0,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,14.0,17.0,No
657902,API,Chat,No,No,0,7.0,1130,2.33,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
657899,API,Organic Search,No,No,0,13.0,594,4.33,Had a Phone Conversation,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657887,API,Organic Search,No,No,0,5.0,1117,5.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
657882,API,Referral Sites,No,No,0,14.0,354,14.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
657879,API,Google,No,No,0,3.0,217,3.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657828,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
657823,API,Direct Traffic,No,No,1,5.0,1837,2.5,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
657821,Landing Page Submission,Google,No,No,0,1.0,302,1.0,Converted to Lead,Human Resource Management,,No,No,No,No,No,No,14.0,17.0,No
657803,Landing Page Submission,Google,No,No,0,6.0,32,6.0,Page Visited on Website,Human Resource Management,,No,No,No,No,No,No,15.0,18.0,No
657754,Landing Page Submission,Google,No,No,0,4.0,144,4.0,Email Opened,Operations Management,,No,No,No,No,No,No,13.0,17.0,No
657741,API,Organic Search,No,No,1,2.0,631,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
657717,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
657703,API,Google,No,No,0,3.0,235,3.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
657697,Landing Page Submission,Google,No,No,0,2.0,453,2.0,Email Link Clicked,Services Excellence,,No,No,No,No,No,No,12.0,15.0,No
657691,API,Referral Sites,No,No,0,3.0,60,1.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
657676,API,Organic Search,No,No,0,9.0,96,4.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657655,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657644,API,Referral Sites,No,No,1,11.0,825,11.0,Chat Conversation,Finance Management,Working Professional,No,No,No,No,No,No,17.0,15.0,No
657643,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
657620,API,Direct Traffic,No,No,0,11.0,10,5.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
657611,Lead Add Form,Reference,No,No,1,,1704,,,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
657609,API,Organic Search,No,No,1,3.0,1154,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
657586,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,14.0,19.0,No
657572,Landing Page Submission,Referral Sites,No,No,1,6.0,104,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
657510,API,Google,No,No,0,3.0,331,3.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
657502,Landing Page Submission,Google,No,No,0,5.0,294,2.5,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,12.0,15.0,No
657477,Landing Page Submission,Google,No,No,1,4.0,228,4.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,19.0,No
657470,Landing Page Submission,Organic Search,No,No,0,5.0,26,5.0,Email Opened,Hospitality Management,,No,No,No,No,No,No,15.0,14.0,Yes
657452,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657426,Landing Page Submission,google,No,No,0,5.0,1008,5.0,Page Visited on Website,Select,,No,No,No,No,No,No,15.0,14.0,No
657423,Landing Page Submission,Referral Sites,No,No,0,17.0,71,3.4,Unreachable,Select,Unemployed,No,No,No,No,No,No,13.0,16.0,No
657421,Landing Page Submission,Google,No,No,0,8.0,43,8.0,Chat Conversation,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
657390,Landing Page Submission,Google,No,No,0,4.0,294,4.0,Email Opened,E-Business,Unemployed,No,No,No,No,No,No,13.0,18.0,No
657388,API,Organic Search,No,No,0,2.0,1528,1.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657386,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657385,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
657381,API,Referral Sites,No,No,0,1.0,213,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
657379,Landing Page Submission,Organic Search,No,No,1,4.0,31,1.33,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,15.0,18.0,Yes
657356,API,Google,No,No,0,3.0,389,3.0,Email Opened,,,No,No,No,No,No,No,12.0,15.0,No
